"RowID"	"CASRN"	"DTXSID"	"Name"	"Structure_Source"	"SMILES_Original"	"Canonical_QSARr"	"Salt_Solvent"	"InChI_Code_QSARr"	"InChI Key_QSARr"	"LD50_mgkg"	"EPA_category"	"GHS_category"	"very_toxic"	"nontoxic"
"1001"	"130209-82-4"	"DTXSID1041057"	"Latanoprost"	"EPA_DSSTox"	"CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1"	"CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCC1=CC=CC=C1"	"?"	"InChI=1S/C26H40O5/c1-19(2)31-26(30)13-9-4-3-8-12-22-23(25(29)18-24(22)28)17-16-21(27)15-14-20-10-6-5-7-11-20/h3,5-8,10-11,19,21-25,27-29H,4,9,12-18H2,1-2H3"	"GGXICVAJURFBLW-UHFFFAOYSA-N"		"1"	"1"	"TRUE"	"FALSE"
"1002"	"123253-00-9"	"DTXSID10153915"	"2H-Thieno(2,3-e)-1,2-thiazine-3-carboxamide, 6-chloro-2-methyl-N-(2-pyridinyl)-4-(2-pyridinylamino)-, 1,1-dioxide"	"EPA_DSSTox"	"CN1C(C(=O)NC2=CC=CC=N2)=C(NC2=CC=CC=N2)C2=C(C=C(Cl)S2)S1(=O)=O"	"CN1C(=C(NC2C=CC=CN=2)C2SC(Cl)=CC=2S1(=O)=O)C(=O)NC1C=CC=CN=1"	"?"	"InChI=1S/C18H14ClN5O3S2/c1-24-16(18(25)23-14-7-3-5-9-21-14)15(22-13-6-2-4-8-20-13)17-11(29(24,26)27)10-12(19)28-17/h2-10H,1H3,(H,20,22)(H,21,23,25)"	"WMANCVNHWLMOGE-UHFFFAOYSA-N"		"1"	"2"	"TRUE"	"FALSE"
"1003"	"123253-04-3"	"DTXSID90153918"	"Propanoic acid, 2,2-dimethyl-, 2-methyl-3-((2-pyridinylamino)carbonyl)-2H-thieno(2,3-e)-1,2-thiazin-4-yl ester, S,S-dioxide"	"EPA_DSSTox"	"CN1C(C(=O)NC2=CC=CC=N2)=C(OC(=O)C(C)(C)C)C2=C(C=CS2)S1(=O)=O"	"CN1C(=C(OC(=O)C(C)(C)C)C2SC=CC=2S1(=O)=O)C(=O)NC1C=CC=CN=1"	"?"	"InChI=1S/C18H19N3O5S2/c1-18(2,3)17(23)26-14-13(16(22)20-12-7-5-6-9-19-12)21(4)28(24,25)11-8-10-27-15(11)14/h5-10H,1-4H3,(H,19,20,22)"	"TWGBQNRSOGHBMD-UHFFFAOYSA-N"		"1"	"2"	"TRUE"	"FALSE"
"1004"	"14255-87-9"	"DTXSID0045410"	"Parbendazole"	"EPA_DSSTox"	"CCCCC1=CC2=C(NC(NC(=O)OC)=N2)C=C1"	"CCCCC1=CC2N=C(NC=2C=C1)NC(=O)OC"	"?"	"InChI=1S/C13H17N3O2/c1-3-4-5-9-6-7-10-11(8-9)15-12(14-10)16-13(17)18-2/h6-8H,3-5H2,1-2H3,(H2,14,15,16,17)"	"YRWLZFXJFBZBEY-UHFFFAOYSA-N"		"1"	"2"	"TRUE"	"FALSE"
"1005"	"50-56-6"	"DTXSID8048361"	"Oxytocin"	"EPA_DSSTox"	"CC[C@H](C)[C@@H]1NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O"	"CC(C)CC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(C(C)CC)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O"	"?"	"InChI=1S/C43H66N12O12S2/c1-5-22(4)35-42(66)49-26(12-13-32(45)57)38(62)51-29(17-33(46)58)39(63)53-30(20-69-68-19-25(44)36(60)50-28(40(64)54-35)16-23-8-10-24(56)11-9-23)43(67)55-14-6-7-31(55)41(65)52-27(15-21(2)3)37(61)48-18-34(47)59/h8-11,21-22,25-31,35,56H,5-7,12-20,44H2,1-4H3,(H2,45,57)(H2,46,58)(H2,47,59)(H,48,61)(H,49,66)(H,50,60)(H,51,62)(H,52,65)(H,53,63)(H,54,64)"	"XNOPRXBHLZRZKH-UHFFFAOYSA-N"		"1"	"2"	"TRUE"	"FALSE"
"1006"	"93739-45-8"	"DTXSID40239559"	"Ro 17-6661"	"EPA_DSSTox"	"CN1C(C(=O)NC2=NC=C(O)C=C2)=C(O)C2=C(C=CS2)S1(=O)=O"	"CN1C(C(=O)NC2=CC=C(O)C=N2)=C(O)C2SC=CC=2S1(=O)=O"	"?"	"InChI=1S/C13H11N3O5S2/c1-16-10(13(19)15-9-3-2-7(17)6-14-9)11(18)12-8(4-5-22-12)23(16,20)21/h2-6,17-18H,1H3,(H,14,15,19)"	"VJMIVXXTLGMNIX-UHFFFAOYSA-N"		"1"	"2"	"TRUE"	"FALSE"
"1007"	"104902-33-2"	"DTXSID20146818"	"1,8-Naphthyridin-2(1H)-one, 3-methyl-1-(3-(trifluoromethyl)phenyl)-"	"EPA_DSSTox"	"CC1=CC2=C(N=CC=C2)N(C2=CC=CC(=C2)C(F)(F)F)C1=O"	"CC1=CC2C=CC=NC=2N(C1=O)C1C=C(C=CC=1)C(F)(F)F"	"?"	"InChI=1S/C16H11F3N2O/c1-10-8-11-4-3-7-20-14(11)21(15(10)22)13-6-2-5-12(9-13)16(17,18)19/h2-9H,1H3"	"TUYYQWHGLSNMRK-UHFFFAOYSA-N"		"2"	"3"	"FALSE"	"FALSE"
"1008"	"11024-24-1"	"DTXSID1025065"	"Digitonin"	"EPA_DSSTox"	"C[C@H]1[C@H]2[C@@H](O[C@]11CC[C@@H](C)CO1)[C@@H](O)[C@H]1[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5O[C@H](CO)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]21C"	"CC1COC2(CC1)OC1C(C2C)C2(C)CCC3C(CCC4CC(OC5OC(CO)C(OC6OC(CO)C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)C5O)C(O)CC43C)C2C1O"	"?"	"InChI=1S/C56H92O29/c1-19-7-10-56(75-17-19)20(2)31-45(85-56)37(67)32-22-6-5-21-11-26(24(61)12-55(21,4)23(22)8-9-54(31,32)3)76-50-42(72)39(69)44(30(16-60)80-50)81-53-48(47(36(66)29(15-59)79-53)83-49-40(70)33(63)25(62)18-74-49)84-52-43(73)46(35(65)28(14-58)78-52)82-51-41(71)38(68)34(64)27(13-57)77-51/h19-53,57-73H,5-18H2,1-4H3"	"UVYVLBIGDKGWPX-UHFFFAOYSA-N"		"2"	"3"	"FALSE"	"FALSE"
"1009"	"125055-50-7"	"DTXSID00154557"	"4H-Pyrido(1,2-a)pyrimidine-3-carboxamide, N,6-dimethyl-4-oxo-"	"EPA_DSSTox"	"CNC(=O)C1=CN=C2C=CC=C(C)N2C1=O"	"CC1=CC=CC2=NC=C(C(=O)N12)C(=O)NC"	"?"	"InChI=1S/C11H11N3O2/c1-7-4-3-5-9-13-6-8(10(15)12-2)11(16)14(7)9/h3-6H,1-2H3,(H,12,15)"	"YORPSDUDGJSDFZ-UHFFFAOYSA-N"		"2"	"3"	"FALSE"	"FALSE"
"1010"	"125055-54-1"	"DTXSID90154561"	"4H-Pyrido(1,2-a)pyrimidine-3-carboxamide, N-(1,1-dimethylethyl)-6-methyl-4-oxo-"	"EPA_DSSTox"	"CC1=CC=CC2=NC=C(C(=O)NC(C)(C)C)C(=O)N12"	"CC1=CC=CC2=NC=C(C(=O)N12)C(=O)NC(C)(C)C"	"?"	"InChI=1S/C14H17N3O2/c1-9-6-5-7-11-15-8-10(13(19)17(9)11)12(18)16-14(2,3)4/h5-8H,1-4H3,(H,16,18)"	"TWOQZTKIJXLQEP-UHFFFAOYSA-N"		"2"	"3"	"FALSE"	"FALSE"
