id,smiles,epa,0_x,1_x,2_x,3_x,mlp prediction,0_y,1_y,2_y,3_y,rnn prediction,0,1,2,3,cnn prediction
molid70,ClC=CCCl,1.0,0.48349974,0.38043633,0.11466637,0.021397674,0,0.298793,0.508638,0.15698,0.0355889,1,0.293265,0.360626,0.23786300000000002,0.10824600000000001,1.0
molid597,O=C(O)CCC(=O)O,2.0,0.030932086,0.16062386,0.36120793,0.44723615,3,0.0517211,0.114173,0.358236,0.47586999999999996,3,0.16284200000000001,0.20308099999999998,0.314175,0.319902,3.0
molid1222,CCCNC(=O)c1cnc2cccc(C)n2c1=O,1.0,0.10876672,0.31790134,0.3534392,0.21989276,2,0.019802,0.275316,0.565573,0.139308,2,0.195748,0.338567,0.30846999999999997,0.15721500000000002,1.0
molid1673,CC1CCCCN1N=O,2.0,0.17527212,0.45539856,0.28200704,0.0873224,1,0.036596,0.593637,0.34016799999999997,0.0295986,1,0.126694,0.277199,0.339089,0.25701799999999997,2.0
molid1818,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,1.0,0.24168068,0.43682322,0.24642270000000002,0.07507341,1,0.817272,0.137442,0.0385433,0.00674194,0,0.914552,0.0490193,0.018459700000000002,0.017968500000000002,0.0
molid1841,CCN(CC)C(=S)S,2.0,0.49941644,0.35267076,0.12017077,0.02774205,0,0.044731400000000004,0.475259,0.443845,0.0361641,1,0.28266399999999997,0.358462,0.245777,0.113097,1.0
molid1990,CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,1.0,0.37902543,0.2983633,0.20380834,0.11880291,0,0.0485511,0.584546,0.311675,0.055228099999999995,1,0.10818599999999999,0.346769,0.36404000000000003,0.181005,2.0
molid2255,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,3.0,0.08253127,0.13006887,0.27035362,0.5170463,3,0.760668,0.119309,0.0673724,0.0526514,0,0.217869,0.185168,0.292246,0.304717,3.0
molid2442,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,2.0,0.30203924,0.24174866,0.23869342,0.21751863,0,0.247615,0.42853199999999997,0.23766900000000002,0.0861834,1,0.3538,0.26829899999999995,0.205925,0.171976,0.0
molid2484,O=C(O)CC(O)(CC(=O)O)C(=O)O,2.0,0.014700743,0.09054659,0.302197,0.5925557,3,0.339131,0.124922,0.233461,0.30248600000000003,0,0.163186,0.153613,0.297005,0.386196,3.0
molid2591,Cc1cc(Cl)ccc1OCC(=O)O,2.0,0.23356615,0.4335348,0.2536168,0.07928227,1,0.0955893,0.20038399999999998,0.356375,0.347652,2,0.14543,0.373528,0.361086,0.119956,1.0
molid2650,O=C(O)COc1ccc(Cl)cc1Cl,2.0,0.31886348,0.4039368,0.21094292,0.06625683,1,0.0144076,0.238265,0.497328,0.25,2,0.229962,0.408344,0.27218600000000004,0.0895082,1.0
molid2722,CCCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,1.0,0.20674285,0.4633016,0.25713572,0.07281976,1,0.0720185,0.483171,0.36173099999999997,0.0830791,1,0.102756,0.378709,0.370108,0.148427,1.0
molid2864,CC(C)(C)C1CCC(O)CC1,2.0,0.03170387,0.1284509,0.3193807,0.5204645,3,0.0947592,0.033842000000000004,0.148831,0.722567,3,0.136769,0.222952,0.333687,0.30659200000000003,2.0
molid3374,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,3.0,0.00993375,0.04862073,0.21330035,0.7281451999999999,3,0.382269,0.0791163,0.181784,0.356831,0,0.0244808,0.0607285,0.240587,0.674204,3.0
molid3582,OC1C2C3OC3C1C1C2C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0.0,0.58349663,0.22816799999999998,0.11863888,0.06969648,0,0.218548,0.347144,0.273102,0.161206,1,0.175677,0.39615100000000003,0.312869,0.115303,1.0
molid3776,NNc1nncc2ccccc12,1.0,0.16029692,0.5066463999999999,0.27013493,0.062921725,1,0.0327195,0.519714,0.40481500000000004,0.04275109999999999,1,0.17443399999999998,0.34337,0.33685,0.145346,1.0
molid3904,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,3.0,0.007006576,0.02577489,0.15266295,0.8145555999999999,3,0.0399051,0.07994989999999999,0.280001,0.600144,3,0.0932138,0.136856,0.294021,0.475909,3.0
molid4144,C=CC(=O)NCC(OC)OC,2.0,0.081865616,0.23106544,0.34996763,0.33710134,2,0.013048599999999999,0.04788080000000001,0.229382,0.709689,3,0.09919410000000001,0.201312,0.341683,0.357811,3.0
molid4166,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1,3.0,0.07057904,0.07015067,0.19310948,0.6661608,3,0.0350404,0.149375,0.36898800000000004,0.446596,3,0.154318,0.24298499999999998,0.32019899999999996,0.282498,2.0
molid4221,CCCCCCCCCCCCCCCCCC(=O)O,3.0,0.006794378,0.07553898,0.29802057,0.619646,3,0.10365899999999999,0.08938120000000001,0.249796,0.557164,3,0.04341969999999999,0.142703,0.313822,0.5000560000000001,3.0
molid4494,C[N+]1(CCC(O)(c2ccccc2)C2CCCCC2)CCCC1,2.0,0.38755426,0.41809362,0.15864624,0.0357058,1,0.030560000000000004,0.37916,0.438205,0.152075,2,0.186724,0.31957800000000003,0.325484,0.168214,2.0
molid5034,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,2.0,0.17555904,0.60310566,0.19825897,0.023076309,1,0.07982389999999999,0.38253400000000004,0.43861300000000003,0.09902849999999999,2,0.146343,0.374747,0.339246,0.139665,1.0
