id,smiles,ghs,0_x,1_x,2_x,3_x,4_x,mlp prediction,0_y,1_y,2_y,3_y,4_y,rnn prediction,0,1,2,3,4,cnn prediction
molid70,ClC=CCCl,2.0,0.10255924599999999,0.35140815,0.29825804,0.17044672,0.077327825,1,0.060093799999999996,0.265514,0.259909,0.20827800000000002,0.20620500000000003,1,0.0668069,0.331866,0.321276,0.18564,0.0944118,1.0
molid597,O=C(O)CCC(=O)O,4.0,0.006396921,0.04561422,0.16193491,0.3232501,0.46280387,4,0.00249973,0.0742707,0.357478,0.282186,0.283565,2,0.0126398,0.128925,0.21227800000000002,0.269741,0.376416,4.0
molid1222,CCCNC(=O)c1cnc2cccc(C)n2c1=O,2.0,0.036702715,0.12567505,0.22409031,0.32759488,0.28593707,3,0.0101861,0.14821099999999998,0.31699,0.279475,0.245137,2,0.00499716,0.152403,0.295229,0.333617,0.21375500000000003,3.0
molid1673,CC1CCCCN1N=O,3.0,0.077240966,0.27890813,0.30019984,0.22245787,0.12119328,2,0.00658088,0.102158,0.336941,0.288566,0.265754,2,0.00836849,0.136882,0.251421,0.301027,0.302302,4.0
molid1818,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,2.0,0.051336803,0.24966212,0.32881108,0.25445437,0.11573559,2,0.0312665,0.139808,0.265753,0.285841,0.27733,3,0.737733,0.119921,0.0495206,0.0314013,0.0614245,0.0
molid1841,CCN(CC)C(=S)S,3.0,0.108234525,0.33640718,0.2972125,0.17673555,0.0814102,1,0.00629279,0.11886400000000001,0.33868000000000004,0.28691700000000003,0.249246,2,0.188277,0.375195,0.24087600000000003,0.129807,0.0658452,1.0
molid1990,CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,2.0,0.32147056,0.22088222,0.16915323,0.14610869,0.14238527,0,0.301767,0.283783,0.150755,0.126779,0.136916,0,0.0104045,0.156419,0.295684,0.335527,0.201966,3.0
molid2255,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,4.0,0.1385484,0.17573225,0.19796546,0.21172538,0.27602842,4,0.14174,0.190187,0.208247,0.232371,0.22745500000000002,3,0.140207,0.13313599999999998,0.195929,0.245692,0.285036,4.0
molid2442,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,4.0,0.11423943,0.21839908,0.24633690000000003,0.22276704,0.1982576,2,0.00665251,0.0940524,0.32475,0.293086,0.281459,2,0.27632399999999996,0.12300799999999999,0.168768,0.151776,0.280124,4.0
molid2484,O=C(O)CC(O)(CC(=O)O)C(=O)O,3.0,0.008170377,0.043750625,0.14510209999999998,0.29149443,0.5114825,4,0.00340216,0.08029689999999999,0.339389,0.29093800000000003,0.28597399999999995,2,0.0220251,0.14431,0.209544,0.27560999999999997,0.348511,4.0
