id,smiles,nontoxic,0_x,1_x,mlp prediction,0_y,1_y,rnn prediction,0,1,cnn prediction
molid70,ClC=CCCl,0.0,0.9256972,0.07430281,0,0.8527790000000001,0.147221,0,0.709331,0.290669,0.0
molid597,O=C(O)CCC(=O)O,1.0,0.1544398,0.8455601999999999,1,0.321714,0.678286,1,0.31867399999999996,0.681326,1.0
molid1222,CCCNC(=O)c1cnc2cccc(C)n2c1=O,0.0,0.65850174,0.3414983,0,0.833241,0.166759,0,0.668038,0.331962,0.0
molid1673,CC1CCCCN1N=O,0.0,0.9051136999999999,0.09488632,0,0.8974280000000001,0.102572,0,0.405089,0.594911,1.0
molid1818,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0.0,0.64849365,0.3515063,0,0.620904,0.379096,0,0.5719609999999999,0.42803900000000006,0.0
molid1841,CCN(CC)C(=S)S,0.0,0.94395775,0.056042224,0,0.9078309999999999,0.0921688,0,0.687483,0.312517,0.0
molid1990,CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,0.0,0.8133667,0.18663327,0,0.9722700000000001,0.027730400000000002,0,0.653992,0.346008,0.0
molid2255,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,1.0,0.37931275,0.62068725,1,0.332679,0.667321,1,0.442326,0.557674,1.0
molid2442,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,1.0,0.62900454,0.37099543,0,0.715209,0.28479099999999996,0,0.507117,0.492883,0.0
molid2484,O=C(O)CC(O)(CC(=O)O)C(=O)O,0.0,0.053767607,0.9462323,1,0.204066,0.795934,1,0.366271,0.633729,1.0
molid2591,Cc1cc(Cl)ccc1OCC(=O)O,0.0,0.77928627,0.22071382,0,0.294548,0.7054520000000001,1,0.624549,0.37545100000000003,0.0
molid2650,O=C(O)COc1ccc(Cl)cc1Cl,0.0,0.7907473,0.20925269,0,0.730908,0.269092,0,0.647022,0.352978,0.0
molid2722,CCCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,0.0,0.7721509,0.22784911,0,0.724456,0.275544,0,0.7270300000000001,0.27297,0.0
molid2864,CC(C)(C)C1CCC(O)CC1,1.0,0.2633331,0.7366669,1,0.368365,0.6316350000000001,1,0.318977,0.6810229999999999,1.0
molid3374,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1.0,0.22932349,0.7706765,1,0.0590802,0.9409200000000001,1,0.185699,0.814301,1.0
molid3582,OC1C2C3OC3C1C1C2C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0.0,0.7172526,0.28274740000000004,0,0.651712,0.348288,0,0.695068,0.30493200000000004,0.0
molid3776,NNc1nncc2ccccc12,0.0,0.9555041999999999,0.04449587,0,0.8352780000000001,0.164722,0,0.639472,0.360528,0.0
molid3904,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,1.0,0.059571672,0.9404283999999999,1,0.137904,0.8620959999999999,1,0.32709,0.67291,1.0
molid4144,C=CC(=O)NCC(OC)OC,0.0,0.6310776,0.36892244,0,0.537694,0.46230600000000005,0,0.334982,0.665018,1.0
molid4166,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1,1.0,0.15849312,0.8415069,1,0.316148,0.683852,1,0.399785,0.6002149999999999,1.0
molid4221,CCCCCCCCCCCCCCCCCC(=O)O,1.0,0.12511672,0.87488323,1,0.0835393,0.9164610000000001,1,0.21003400000000003,0.789966,1.0
molid4494,C[N+]1(CCC(O)(c2ccccc2)C2CCCCC2)CCCC1,0.0,0.9322651,0.06773489999999999,0,0.824729,0.175271,0,0.591653,0.40834699999999996,0.0
molid5034,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,0.0,0.9264759,0.073524125,0,0.864986,0.13501400000000002,0,0.6304890000000001,0.36951100000000003,0.0
molid5146,CNCC(O)c1ccc(O)c(O)c1,0.0,0.5025581,0.49744183,0,0.72841,0.27159,0,0.5142899999999999,0.48571000000000003,0.0
molid5268,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.0,0.8907326999999999,0.10926732,0,0.9386620000000001,0.061338199999999996,0,0.624356,0.375644,0.0
molid7312,Cc1ccc2c(c1)CC(=O)c1cc(C(C)C(=O)O)ccc1O2,0.0,0.8454689000000001,0.15453106,0,0.744501,0.255499,0,0.615924,0.38407600000000003,0.0
molid7421,C,1.0,0.38470525,0.61529475,1,0.43328599999999995,0.566714,1,0.553873,0.44612700000000005,0.0
molid1,O=[N+]([O-])c1ccc(Cl)cc1,0.0,0.8131383000000001,0.18686165,0,0.773784,0.22621599999999997,0,0.670107,0.329893,0.0
molid15,C=CC1CC=CCC1,0.0,0.50479907,0.49520087,0,0.357824,0.642176,1,0.520701,0.479299,0.0
molid20,O=Cc1ccccc1,0.0,0.76453805,0.2354619,0,0.567708,0.432292,0,0.627948,0.372052,0.0
molid35,CCCCCCCCCCCCN=C(O)C[N+](C)(C)Cc1ccccc1,0.0,0.85575366,0.14424635,0,0.842701,0.157299,0,0.297512,0.702488,1.0
molid36,C1N2CN3CN1CN(C2)C3,1.0,0.59325194,0.40674806,0,0.834743,0.165257,0,0.49417700000000003,0.5058229999999999,1.0
molid66,CCC12COP(=O)(OC1)OC2,0.0,0.9312613000000001,0.068738714,0,0.923858,0.0761424,0,,,
molid67,c1ccc(Oc2nncc3ccccc23)cc1,0.0,0.7438376999999999,0.25616232,0,0.711967,0.288033,0,0.604066,0.395934,0.0
molid91,O=C(Nc1cccc(Cl)c1)OCC#CCCl,0.0,0.71376944,0.28623062,0,0.520472,0.47952799999999995,0,0.618056,0.381944,0.0
molid95,CN(C)C(=O)Nc1ccccc1,1.0,0.74763244,0.25236753,0,0.908731,0.0912692,0,0.592531,0.407469,0.0
molid100,CC(C)Nc1ccc(Nc2ccccc2)cc1,0.0,0.4426753,0.55732465,1,0.44568599999999997,0.5543140000000001,1,0.69611,0.30389,0.0
molid106,c1ccc(Oc2ccccc2)cc1,1.0,0.5565293,0.44347070000000005,0,0.425493,0.574507,1,0.637396,0.362604,0.0
molid112,CCOC(=O)Cc1ccccc1,1.0,0.30180264,0.69819736,1,0.227415,0.7725850000000001,1,0.544601,0.455399,0.0
molid122,Cl[Si](Cl)(Cl)C1CC=CCC1,1.0,0.90709466,0.092905395,0,0.837197,0.162803,0,0.738564,0.261436,0.0
molid127,CC(CN)NCCO,1.0,0.40110067,0.5988993,1,0.922652,0.0773485,0,0.36761900000000003,0.6323810000000001,1.0
molid137,CCOCC(Cl)C(OCC)OCC,0.0,0.46063817,0.53936183,1,0.687301,0.312699,0,0.610671,0.389329,0.0
molid139,CC(CC(C)(C)O)OCCC#N,1.0,0.24524394,0.7547560999999999,1,0.300492,0.699508,1,0.39292699999999997,0.607073,1.0
molid141,CCCCC(CC)COCC(CC)CCCC,1.0,0.15900179999999997,0.8409982,1,0.0735822,0.9264180000000001,1,0.345352,0.654648,1.0
