id,smiles,verytoxic,0_x,1_x,mlp prediction,0_y,1_y,rnn prediction,0,1,cnn prediction
molid70,ClC=CCCl,0.0,0.2751338,0.72486615,1,0.42028699999999997,0.579713,1,0.40707,0.5929300000000001,1.0
molid597,O=C(O)CCC(=O)O,0.0,0.8599049999999999,0.14009498,0,0.643885,0.356115,0,0.655271,0.344729,0.0
molid1222,CCCNC(=O)c1cnc2cccc(C)n2c1=O,0.0,0.7265441999999999,0.27345586,0,0.32831,0.67169,1,0.632083,0.367917,0.0
molid1673,CC1CCCCN1N=O,0.0,0.46045200000000003,0.5395479999999999,1,0.6172300000000001,0.38277,0,0.778602,0.221398,0.0
molid1818,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0.0,0.5323460999999999,0.46765390000000007,0,0.5422779999999999,0.457722,0,0.419712,0.580288,1.0
molid1841,CCN(CC)C(=S)S,0.0,0.25352347,0.7464765,1,0.551099,0.448901,0,0.196467,0.8035329999999999,1.0
molid1990,CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,0.0,0.51425403,0.48574606,0,0.134955,0.8650450000000001,1,0.515683,0.484317,0.0
molid2255,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,0.0,0.47463894,0.52536106,1,0.180523,0.819477,1,0.516955,0.483045,0.0
molid2442,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,0.0,0.32082105,0.6791789,1,0.7193970000000001,0.28060300000000005,0,0.49564899999999995,0.504351,1.0
molid2484,O=C(O)CC(O)(CC(=O)O)C(=O)O,0.0,0.80620295,0.19379707,0,0.604334,0.39566599999999996,0,0.725025,0.274975,0.0
molid2591,Cc1cc(Cl)ccc1OCC(=O)O,0.0,0.58922946,0.4107705,0,0.6718029999999999,0.328196,0,0.45464,0.5453600000000001,1.0
molid2650,O=C(O)COc1ccc(Cl)cc1Cl,0.0,0.44777619999999996,0.55222374,1,0.608703,0.391297,0,0.423871,0.576129,1.0
molid2722,CCCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,0.0,0.61175406,0.38824590000000003,0,0.729943,0.270057,0,0.517314,0.48268599999999995,0.0
molid2864,CC(C)(C)C1CCC(O)CC1,0.0,0.72582215,0.27417782,0,0.624965,0.375035,0,0.6360020000000001,0.363998,0.0
molid3374,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,0.0,0.8945103000000001,0.10548963,0,0.853142,0.146858,0,0.725788,0.274212,0.0
molid3582,OC1C2C3OC3C1C1C2C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,1.0,0.18038046,0.8196196,1,0.609336,0.390664,0,0.538374,0.46162600000000004,0.0
